num,ROAD NAME,geo_loc,machine_vision_prediction,"LENGTH
(FT)",AVERAGE WIDTH (FT),AREA (SF),AREA (SY),Year RESURFACED,Pavement Rate Total,Pavement Rate Overall,Latitude,Longitude,coords,geometry
I,AQUEDUCT LANE,"41.039262, -73.866576",8.143536762323636,215.0,21.0,4515.0,501.67,1993.0,9.35,9.0,41.039262,-73.866576,"(-73.866576, 41.039262)",POINT (-73.86657599999999 41.039262)
2,ARDSLEY AVE. EAST,"41.025517, -73.866235",2.7107479072098184,885.0,20.0,17700.0,1966.67,1994.0,4.5,5.0,41.025517,-73.866235,"(-73.866235, 41.025517)",POINT (-73.866235 41.025517)
3,ARDSLEY AVE. WEST*,"41.025593, -73.872857",7.368576777701836,2764.0,20.0,55280.0,6142.22,1992.0,6.8,7.0,41.025593,-73.872857,"(-73.872857, 41.025593)",POINT (-73.872857 41.025593)
4,BARBARA LANE*,"41.042897, -73.854404",7.368576777701836,591.0,23.0,13593.0,1510.33,2009.0,8.3,8.0,41.042897,-73.854404,"(-73.854404, 41.042897)",POINT (-73.854404 41.042897)
5,BEECHWOOD LANE*,"41.027831, -73.865263",6.667363986135461,1636.0,24.0,39264.0,4362.67,2001.0,8.3,8.0,41.027831,-73.865263,"(-73.865263, 41.027831)",POINT (-73.865263 41.027831)
6,BELMONT DRIVE NORTH,"41.022799, -73.863148",5.458775937413701,521.0,20.0,10420.0,1157.78,2010.0,4.9,5.0,41.022799,-73.863148,"(-73.863148, 41.022799)",POINT (-73.863148 41.022799)
7,BELMONT DRIVE SOUTH,"41.023929, -73.863462",6.667363986135461,527.0,20.0,10540.0,1171.11,2010.0,6.9,7.0,41.023929,-73.863462,"(-73.863462, 41.023929)",POINT (-73.863462 41.023929)
8,BERTHA PLACE,"41.024890, -73.869932",7.368576777701836,855.0,18.0,15390.0,1710.0,1998.0,6.5,7.0,41.02489,-73.869932,"(-73.869932, 41.02489)",POINT (-73.86993200000001 41.02489)
9,BRIDGE STREET,"41.040373, -73.873260",7.368576777701836,844.0,40.0,33760.0,3751.11,1997.0,6.8,7.0,41.040373,-73.87326,"(-73.87326, 41.040373)",POINT (-73.87326 41.040373)
10,BROOK PLACE,"41.036612, -73.869806",4.939304724846237,104.0,18.0,1872.0,208.0,2010.0,8.3,8.0,41.036612,-73.869806,"(-73.869806, 41.036612)",POINT (-73.869806 41.036612)
I I,BUCKHOUTSTREET  NORTH,"41.040975, -73.872273",3.659126937665392,415.0,28.0,11620.0,1291.11,1999.0,5.1,5.0,41.040975,-73.872273,"(-73.872273, 41.040975)",POINT (-73.87227300000001 41.040975)
12,BUCKHOUT STREET SOUTH,"41.035629, -73.873027",4.469267734122686,3160.0,24.0,75840.0,8426.67,1997.0,4.9,5.0,41.035629,-73.873027,"(-73.873027, 41.035629)",POINT (-73.87302699999999 41.035629)
13,BUTTERWOOD EAST*,"41.029098, -73.863353",6.032880414320754,660.0,20.0,13200.0,1466.67,1996.0,6.6,7.0,41.029098,-73.863353,"(-73.863353, 41.029098)",POINT (-73.863353 41.029098)
14,BUTTERWOOD WEST*,"41.029214, -73.866140",5.458775937413701,740.0,20.0,14800.0,1644.44,1996.0,6.6,7.0,41.029214,-73.86614,"(-73.86614, 41.029214)",POINT (-73.86614 41.029214)
15,CARLA LANE*,"41.033971, -73.861377",3.310914970542981,434.0,29.0,12586.0,1398.44,2018.0,6.543157894736844,7.0,41.033971,-73.861377,"(-73.861377, 41.033971)",POINT (-73.861377 41.033971)
16,CASTLE ROAD*,"41.031132, -73.857641",4.939304724846237,1017.0,19.0,19323.0,2147.0,1990.0,8.3,8.0,41.031132,-73.857641,"(-73.857641, 41.031132)",POINT (-73.857641 41.031132)
17,CEDAR LAWN ROAD,"41.035930, -73.859023",0.8164615796047122,1400.0,19.0,26600.0,2955.56,1993.0,3.75,4.0,41.03593,-73.859023,"(-73.859023, 41.03593)",POINT (-73.85902299999999 41.03593)
18,CENTER STREET,"41.046367, -73.855205",5.458775937413701,600.0,19.0,11400.0,1266.67,2002.0,6.9,7.0,41.046367,-73.855205,"(-73.855205, 41.046367)",POINT (-73.855205 41.046367)
19,CINDY LANE,"41.026502, -73.867808",4.939304724846237,231.0,26.0,6006.0,667.33,2001.0,8.3,8.0,41.026502,-73.867808,"(-73.867808, 41.026502)",POINT (-73.867808 41.026502)
20,CIRCLE DRIVE,"41.042116, -73.862375",6.667363986135461,809.0,21.0,16989.0,1887.67,2009.0,6.9,7.0,41.042116,-73.862375,"(-73.862375, 41.042116)",POINT (-73.862375 41.042116)
21,CLIFfON  PLACE,"41.024615, -73.873604",8.143536762323636,681.0,18.0,12258.0,1362.0,1998.0,5.0,5.0,41.024615,-73.873604,"(-73.873604, 41.024615)",POINT (-73.873604 41.024615)
22,COTTONET STREET NORTH,"41.039995, -73.870895",9.0,312.0,27.0,8424.0,936.0,1999.0,8.3,8.0,41.039995,-73.870895,"(-73.870895, 41.039995)",POINT (-73.870895 41.039995)
23,COTTONET STREET SOUTH,"41.038362, -73.871266",5.458775937413701,460.0,28.0,12880.0,1431.11,1999.0,7.65,8.0,41.038362,-73.871266,"(-73.871266, 41.038362)",POINT (-73.87126600000001 41.038362)
24,CROTON PLACE,"41.038789, -73.866959",4.939304724846237,259.0,18.0,4662.0,518.0,1992.0,7.25,7.0,41.038789,-73.866959,"(-73.866959, 41.038789)",POINT (-73.86695899999999 41.038789)
25,"CYRUS FIELD ROAD (0-3,200 ft.)","41.024836, -73.848653",4.939304724846237,3200.0,20.0,64000.0,7111.11,2010.0,3.0,3.0,41.024836,-73.848653,"(-73.848653, 41.024836)",POINT (-73.848653 41.024836)
26,"CYRUS FIELD ROAD (3,200-5,744 ft.)","41.034269, -73.848475",7.368576777701836,2544.0,20.0,50880.0,5653.33,2010.0,3.0,3.0,41.034269,-73.848475,"(-73.848475, 41.034269)",POINT (-73.84847499999999 41.034269)
27,DEARMAN STREET NORTH,"41.039123, -73.865873",2.995839753282716,191.0,27.0,5157.0,573.0,1992.0,5.0,5.0,41.039123,-73.865873,"(-73.865873, 41.039123)",POINT (-73.86587299999999 41.039123)
28,DEARMAN STREET SOUTH,"41.038729, -73.865961",4.043960677054994,170.0,27.0,4590.0,510.0,1992.0,5.0,5.0,41.038729,-73.865961,"(-73.865961, 41.038729)",POINT (-73.865961 41.038729)
29,DEEP HOLLOW CLOSE,"41.025466, -73.859628",6.032880414320754,460.0,21.0,9660.0,1073.33,1991.0,7.65,8.0,41.025466,-73.859628,"(-73.859628, 41.025466)",POINT (-73.859628 41.025466)
30,DOGWOOD LANE*,"41.037303, -73.862244",5.458775937413701,1309.0,29.0,37961.0,4217.89,1997.0,8.3,8.0,41.037303,-73.862244,"(-73.862244, 41.037303)",POINT (-73.862244 41.037303)
31,DOWS LANE,"41.033153, -73.868674",4.469267734122686,556.0,20.0,11120.0,1235.56,1998.0,6.8,7.0,41.033153,-73.868674,"(-73.868674, 41.033153)",POINT (-73.868674 41.033153)
32,DUNHAM PLACE*,"41.035227, -73.855468",8.143536762323636,246.0,30.0,7380.0,820.0,1997.0,4.25,4.0,41.035227,-73.855468,"(-73.855468, 41.035227)",POINT (-73.855468 41.035227)
33,DUTCHER STREET NORTH,"41.040171, -73.869921",2.995839753282716,418.0,28.0,11704.0,1300.44,1999.0,7.65,8.0,41.040171,-73.869921,"(-73.869921, 41.040171)",POINT (-73.86992100000001 41.040171)
34,DUTCHER STREET SOUTH,"41.038566, -73.870295",2.219372675474458,447.0,29.0,12963.0,1440.33,1999.0,6.6,7.0,41.038566,-73.870295,"(-73.870295, 41.038566)",POINT (-73.870295 41.038566)
35,EAST CLINTON AVE.,"41.030872, -73.864509",2.7107479072098184,550.0,27.0,14850.0,1650.0,1997.0,6.6,7.0,41.030872,-73.864509,"(-73.864509, 41.030872)",POINT (-73.864509 41.030872)
36,EAST SUNNYSIDE LANE,"41.048575, -73.856275",6.667363986135461,3231.0,10.0,32310.0,3590.0,2018.0,6.543157894736844,7.0,41.048575,-73.856275,"(-73.856275, 41.048575)",POINT (-73.856275 41.048575)
37,ECKAR STREET NORTH,"41.040057, -73.869041",0.2717764508008665,407.0,29.0,11803.0,1311.44,1999.0,7.65,8.0,41.040057,-73.869041,"(-73.869041, 41.040057)",POINT (-73.869041 41.040057)
38,ECKAR STREET SOUTH,"41.038665, -73.869358",2.995839753282716,428.0,30.0,12840.0,1426.67,1999.0,7.0,7.0,41.038665,-73.869358,"(-73.869358, 41.038665)",POINT (-73.86935800000001 41.038665)
39,ERIE STREET,"41.024404, -73.866733",6.032880414320754,1180.0,20.0,23600.0,2622.22,1998.0,5.0,5.0,41.024404,-73.866733,"(-73.866733, 41.024404)",POINT (-73.866733 41.024404)
40,EMORY ROAD,"41.034215, -73.853358",6.032880414320754,550.0,16.0,8800.0,977.78,2001.0,6.543157894736844,7.0,41.034215,-73.853358,"(-73.853358, 41.034215)",POINT (-73.853358 41.034215)
41,FARGO LANE,"41.044558, -73.866540",9.0,3238.0,18.0,58284.0,6476.0,2018.0,6.543157894736844,7.0,41.044558,-73.86654,"(-73.86654, 41.044558)",POINT (-73.86654 41.044558)
42,FERRIS STREET NORTH,"41.040765, -73.867956",9.0,396.0,29.0,11484.0,1276.0,1999.0,5.0,5.0,41.040765,-73.867956,"(-73.867956, 41.040765)",POINT (-73.86795600000001 41.040765)
43,FERRIS STREET SOUTH,"41.038446, -73.868467",4.043960677054994,512.0,29.0,14848.0,1649.78,1999.0,5.0,5.0,41.038446,-73.868467,"(-73.868467, 41.038446)",POINT (-73.868467 41.038446)
44,FIELDPOINT DRIVE (0-800 ft.),"41.038053, -73.854220",7.368576777701836,800.0,20.0,16000.0,1777.78,2017.0,7.65,8.0,41.038053,-73.85422,"(-73.85422, 41.038053)",POINT (-73.85422 41.038053)
45,"FIELDPOINT DRIVE (800-4,500 ft.)","41.039464, -73.863154",3.310914970542981,3700.0,20.0,74000.0,8222.22,2017.0,6.543157894736844,7.0,41.039464,-73.863154,"(-73.863154, 41.039464)",POINT (-73.86315399999999 41.039464)
47,FIELD TERRACE,"41.026044, -73.864142",2.219372675474458,1275.0,17.0,21675.0,2408.33,2009.0,7.25,7.0,41.026044,-73.864142,"(-73.864142, 41.026044)",POINT (-73.864142 41.026044)
48,GREY ROCK TERRACE,"41.036319, -73.857991",6.032880414320754,720.0,18.0,12960.0,1440.0,1993.0,6.6,7.0,41.036319,-73.857991,"(-73.857991, 41.036319)",POINT (-73.857991 41.036319)
49,GRINNEL STREET,"41.038864, -73.867519",3.659126937665392,381.0,18.0,6858.0,762.0,1992.0,6.6,7.0,41.038864,-73.867519,"(-73.867519, 41.038864)",POINT (-73.867519 41.038864)
50,HALFMOON LANE,"41.030695, -73.874773",1.8170686619518985,935.0,24.0,22440.0,2493.33,1997.0,7.55,8.0,41.030695,-73.874773,"(-73.874773, 41.030695)",POINT (-73.874773 41.030695)
51,HALSEY POND ROAD,"41.029021, -73.854278",9.0,820.0,14.0,11480.0,1275.56,2002.0,6.6,7.0,41.029021,-73.854278,"(-73.854278, 41.029021)",POINT (-73.85427799999999 41.029021)
52,HAMILTON ROAD,"41.029573, -73.864433",2.4527861373061133,1510.0,24.0,36240.0,4026.67,2009.0,7.55,8.0,41.029573,-73.864433,"(-73.864433, 41.029573)",POINT (-73.86443300000001 41.029573)
53,HANCOCK PLACE,"41.024433, -73.871521",6.032880414320754,777.0,17.0,13209.0,1467.67,1998.0,5.85,6.0,41.024433,-73.871521,"(-73.871521, 41.024433)",POINT (-73.871521 41.024433)
54,HARRIMAN ROAD,"41.034891, -73.859070",4.043960677054994,3750.0,31.0,116250.0,12916.67,2016.0,6.543157894736844,7.0,41.034891,-73.85907,"(-73.85907, 41.034891)",POINT (-73.85907 41.034891)
55,HAVERMEYER ROAD*,"41.025343, -73.860833",3.659126937665392,1509.0,24.0,36216.0,4024.0,1990.0,5.85,6.0,41.025343,-73.860833,"(-73.860833, 41.025343)",POINT (-73.860833 41.025343)
56,HENDRICK NORTH *,"41.030140, -73.874740",6.667363986135461,370.0,20.0,7400.0,822.22,1993.0,7.65,8.0,41.03014,-73.87474,"(-73.87474, 41.03014)",POINT (-73.87474 41.03014)
57,HENDRICK SOUTH*,"41.029014, -73.874819",1.6441517164746116,295.0,20.0,5900.0,655.56,1993.0,8.3,8.0,41.029014,-73.874819,"(-73.874819, 41.029014)",POINT (-73.874819 41.029014)
58,HERMITS ROAD,"41.039099, -73.843161",6.667363986135461,800.0,10.0,8000.0,888.89,2009.0,7.65,8.0,41.039099,-73.843161,"(-73.843161, 41.039099)",POINT (-73.84316099999999 41.039099)
59,HILLSIDE TERRACE,"41.036210, -73.857129",2.0081714413358682,812.0,18.0,14616.0,1624.0,1991.0,6.6,7.0,41.03621,-73.857129,"(-73.857129, 41.03621)",POINT (-73.857129 41.03621)
60,HOME PLACE EAST,"41.038277, -73.867160",4.939304724846237,168.0,16.0,2688.0,298.67,1992.0,6.6,7.0,41.038277,-73.86716,"(-73.86716, 41.038277)",POINT (-73.86716 41.038277)
61,HOME PLACE WEST,"41.038391, -73.868288",6.667363986135461,218.0,18.0,3924.0,436.0,1992.0,7.0,7.0,41.038391,-73.868288,"(-73.868288, 41.038391)",POINT (-73.86828800000001 41.038391)
62,HUDSON AVENUE,"41.046238, -73.854231",6.032880414320754,1550.0,20.0,31000.0,3444.44,2000.0,5.85,6.0,41.046238,-73.854231,"(-73.854231, 41.046238)",POINT (-73.854231 41.046238)
63,HUDSON ROAD EAST,"41.023252, -73.866458",7.368576777701836,1150.0,17.0,19550.0,2172.22,2009.0,5.85,6.0,41.023252,-73.866458,"(-73.866458, 41.023252)",POINT (-73.86645799999999 41.023252)
64,HUDSON ROAD WEST,"41.023734, -73.873176",9.0,2630.0,19.0,49970.0,5552.22,1997.0,5.95,6.0,41.023734,-73.873176,"(-73.873176, 41.023734)",POINT (-73.873176 41.023734)
65,HUDSON VIEW PARK,"41.048105, -73.855883",1.2180175491295144,220.0,20.0,4400.0,488.89,2001.0,4.8,5.0,41.048105,-73.855883,"(-73.855883, 41.048105)",POINT (-73.85588300000001 41.048105)
66,HUGH HILL LANE*,"41.033893, -73.858481",1.4876899939942787,710.0,24.0,17040.0,1893.33,2001.0,8.3,8.0,41.033893,-73.858481,"(-73.858481, 41.033893)",POINT (-73.858481 41.033893)
67,ILINKA LANE,"41.029640, -73.861550",1.4876899939942787,250.0,20.0,5000.0,555.56,1996.0,8.3,8.0,41.02964,-73.86155,"(-73.86155, 41.02964)",POINT (-73.86154999999999 41.02964)
68,IRVING PLACE,"41.042337, -73.859586",6.667363986135461,215.0,18.0,3870.0,430.0,1989.0,6.6,7.0,41.042337,-73.859586,"(-73.859586, 41.042337)",POINT (-73.85958599999999 41.042337)
69,IRVINGTON MANOR DRIVE,"41.030021, -73.848591",4.939304724846237,525.0,16.0,8400.0,933.33,2002.0,7.55,8.0,41.030021,-73.848591,"(-73.848591, 41.030021)",POINT (-73.848591 41.030021)
70,JAFFREY PARK,"41.037673, -73.868022",7.368576777701836,1064.0,29.0,30856.0,3428.44,1993.0,8.3,8.0,41.037673,-73.868022,"(-73.868022, 41.037673)",POINT (-73.868022 41.037673)
71,JANET TERRACE*,"41.042543, -73.855203",4.939304724846237,570.0,23.0,13110.0,1456.67,2009.0,8.3,8.0,41.042543,-73.855203,"(-73.855203, 41.042543)",POINT (-73.855203 41.042543)
72,LANGDON AVENUE,"41.022464, -73.865805",4.939304724846237,1720.0,18.0,30960.0,3440.0,2009.0,5.1,5.0,41.022464,-73.865805,"(-73.865805, 41.022464)",POINT (-73.86580499999999 41.022464)
73,LEAFWOOD TERRACE*,"41.032415, -73.856952",4.939304724846237,627.0,20.0,12540.0,1393.33,1990.0,8.3,8.0,41.032415,-73.856952,"(-73.856952, 41.032415)",POINT (-73.85695200000001 41.032415)
74,LEWIS ROAD,"41.032850, -73.853874",7.368576777701836,1527.0,18.0,27486.0,3054.0,2009.0,5.85,6.0,41.03285,-73.853874,"(-73.853874, 41.03285)",POINT (-73.853874 41.03285)
75,MAIN STREET,"41.039406, -73.869548",4.043960677054994,2192.0,44.0,96448.0,10716.44,1994.0,6.543157894736844,7.0,41.039406,-73.869548,"(-73.869548, 41.039406)",POINT (-73.86954799999999 41.039406)
76,MAIN STREET WEST,"41.039805, -73.872617",3.659126937665392,341.0,47.0,16027.0,1780.78,1992.0,8.3,8.0,41.039805,-73.872617,"(-73.872617, 41.039805)",POINT (-73.87261700000001 41.039805)
77,MANOR POND LANE,"41.029537, -73.850310",6.667363986135461,2660.0,22.0,58520.0,6502.22,2002.0,6.9,7.0,41.029537,-73.85031,"(-73.85031, 41.029537)",POINT (-73.85030999999999 41.029537)
78,MAPLE STREET,"41.037035, -73.871715",2.995839753282716,526.0,18.0,9468.0,1052.0,2010.0,8.3,8.0,41.037035,-73.871715,"(-73.871715, 41.037035)",POINT (-73.87171499999999 41.037035)
79,MATHIESSEN PARK,"41.041392, -73.866937",8.143536762323636,2050.0,10.0,20500.0,2277.78,2001.0,7.65,8.0,41.041392,-73.866937,"(-73.866937, 41.041392)",POINT (-73.86693699999999 41.041392)
80,MEADOW BROOK ROAD,"41.044904, -73.863683",5.458775937413701,1087.0,20.0,21740.0,2415.56,1997.0,5.85,6.0,41.044904,-73.863683,"(-73.863683, 41.044904)",POINT (-73.86368299999999 41.044904)
81,MEADOW WAY,"41.035983, -73.856204",7.368576777701836,917.0,20.0,18340.0,2037.78,1992.0,4.15,4.0,41.035983,-73.856204,"(-73.856204, 41.035983)",POINT (-73.85620400000001 41.035983)
82,NORTH ASTOR STREET,"41.040469, -73.872665",6.667363986135461,400.0,40.0,16000.0,1777.78,2009.0,5.1,5.0,41.040469,-73.872665,"(-73.872665, 41.040469)",POINT (-73.872665 41.040469)
83,NORTH BROOK LANE,"41.027785, -73.853706",3.310914970542981,1700.0,22.0,37400.0,4155.56,2002.0,6.9,7.0,41.027785,-73.853706,"(-73.853706, 41.027785)",POINT (-73.853706 41.027785)
84,OAK STREET,"41.036076, -73.870586",5.458775937413701,524.0,17.0,8908.0,989.78,2010.0,8.95,9.0,41.036076,-73.870586,"(-73.870586, 41.036076)",POINT (-73.870586 41.036076)
85,OSCEOLA AVENUE,"41.025706, -73.861711",6.032880414320754,1935.0,19.0,36765.0,4085.0,2009.0,5.85,6.0,41.025706,-73.861711,"(-73.861711, 41.025706)",POINT (-73.861711 41.025706)
86,PALLISER ROAD,"41.032176, -73.857407",3.659126937665392,929.0,19.0,17651.0,1961.22,1990.0,6.9,7.0,41.032176,-73.857407,"(-73.857407, 41.032176)",POINT (-73.85740699999999 41.032176)
87,PARK AVENUE,"41.047023, -73.855664",2.219372675474458,565.0,19.0,10735.0,1192.78,2000.0,7.55,8.0,41.047023,-73.855664,"(-73.855664, 41.047023)",POINT (-73.855664 41.047023)
88,PARK ROAD,"41.033525, -73.857787",7.368576777701836,739.0,20.0,14780.0,1642.22,2009.0,4.8,5.0,41.033525,-73.857787,"(-73.857787, 41.033525)",POINT (-73.857787 41.033525)
89,PARKSIDE WAY,"41.035373, -73.859852",4.469267734122686,750.0,19.0,14250.0,1583.33,1990.0,4.15,4.0,41.035373,-73.859852,"(-73.859852, 41.035373)",POINT (-73.859852 41.035373)
90,"PETER BONT ROAD (0-2,000 ft.)'","41.042570, -73.838365",6.032880414320754,2000.0,10.0,20000.0,2222.22,2002.0,3.5,4.0,41.04257,-73.838365,"(-73.838365, 41.04257)",POINT (-73.838365 41.04257)
91,"PETER BONT ROAD (2,000-4,799 ft.)'","41.046790, -73.849577",4.469267734122686,2799.0,10.0,27990.0,3110.0,2002.0,3.5,4.0,41.04679,-73.849577,"(-73.849577, 41.04679)",POINT (-73.849577 41.04679)
92,RIVER ROAD,"41.037483, -73.873786",6.667363986135461,750.0,35.0,26250.0,2916.67,2001.0,7.55,8.0,41.037483,-73.873786,"(-73.873786, 41.037483)",POINT (-73.873786 41.037483)
93,RIVERVIEW ROAD,"41.043330, -73.855637",5.458775937413701,3344.0,22.0,73568.0,8174.22,2009.0,6.9,7.0,41.04333,-73.855637,"(-73.855637, 41.04333)",POINT (-73.855637 41.04333)
94,RIVERVIEW TERRACE,"41.036651, -73.858929",4.043960677054994,555.0,20.0,11100.0,1233.33,1993.0,6.6,7.0,41.036651,-73.858929,"(-73.858929, 41.036651)",POINT (-73.858929 41.036651)
95,ROLAND ROAD,"41.024033, -73.867284",4.043960677054994,1063.0,17.0,18071.0,2007.89,2009.0,6.9,7.0,41.024033,-73.867284,"(-73.867284, 41.024033)",POINT (-73.867284 41.024033)
98,SOUTH ASTOR STREET,"41.038833, -73.872973",4.939304724846237,822.0,34.0,27948.0,3105.33,2009.0,5.1,5.0,41.038833,-73.872973,"(-73.872973, 41.038833)",POINT (-73.872973 41.038833)
99,STATION ROAD,"41.036100, -73.869206",4.469267734122686,2480.0,21.0,52080.0,5786.67,2010.0,6.8,7.0,41.0361,-73.869206,"(-73.869206, 41.0361)",POINT (-73.86920600000001 41.0361)
100,SYCAMORE LANE,"41.036720, -73.862743",3.659126937665392,1987.0,29.0,57623.0,6402.56,1997.0,6.9,7.0,41.03672,-73.862743,"(-73.862743, 41.03672)",POINT (-73.86274299999999 41.03672)
101,VICTOR DRIVE*,"41.034067, -73.861836",7.368576777701836,585.0,28.0,16380.0,1820.0,2018.0,6.543157894736844,7.0,41.034067,-73.861836,"(-73.861836, 41.034067)",POINT (-73.861836 41.034067)
102,WASHINGTON AVENUE,"41.023962, -73.864951",7.368576777701836,1070.0,23.0,24610.0,2734.44,2010.0,6.6,7.0,41.023962,-73.864951,"(-73.864951, 41.023962)",POINT (-73.864951 41.023962)
103,WEST CLINTON AVENUE*,"41.031256, -73.871160",5.458775937413701,2440.0,28.0,68320.0,7591.11,1994.0,3.4,3.0,41.031256,-73.87116,"(-73.87116, 41.031256)",POINT (-73.87116 41.031256)
104,WEST SUNNYSIDE LANE,"41.047124, -73.866099",7.368576777701836,2036.0,10.0,20360.0,2262.22,1997.0,5.85,6.0,41.047124,-73.866099,"(-73.866099, 41.047124)",POINT (-73.86609900000001 41.047124)
105,WILLOW STREET,"41.036100, -73.871086",5.458775937413701,541.0,17.0,9197.0,1021.89,2010.0,8.95,9.0,41.0361,-73.871086,"(-73.871086, 41.0361)",POINT (-73.87108600000001 41.0361)
106,WOODBINE ROAD*,"41.035891, -73.870157",8.143536762323636,418.0,19.0,7942.0,882.44,2010.0,7.65,8.0,41.035891,-73.870157,"(-73.870157, 41.035891)",POINT (-73.87015700000001 41.035891)
